bath,balcony,price
2,1,39.07
5,3,120
2,3,62
3,1,95
2,1,51
2,1,38
4,,204
4,,600
3,1,63.25
6,,370
2,2,70
5,3,295
2,1,38
2,2,40
3,2,148
2,2,73.5
3,2,48
3,3,60
4,2,290
2,2,48
1,1,15
3,1,122
5,2,380
3,1,103
1,0,25.25
3,2,56
1,1,23.1
3,2,81
2,2,48.77
2,1,47
4,0,186
2,1,35
2,2,123
3,3,57.39
3,,125
2,1,36
2,1,45.5
3,2,125
2,2,56.12
2,2,45
2,,81
3,2,38
1,0,38
1,0,48
2,2,91.79
9,,200
2,0,33
2,1,94.82
1,1,130
2,1,36
2,1,50
3,1,99
3,2,91
2,2,75
2,3,75
2,2,44
,,192
2,2,185
4,1,150
2,2,45
3,2,240
2,1,55
5,3,650
2,2,44
8,0,140
2,1,62
2,3,43
2,1,57
7,0,85
2,1,36.68
3,2,100
2,1,80.58
3,1,101
2,1,70
3,2,140
2,1,48.23
2,3,40
3,3,205
1,0,22
6,3,250
2,2,105
,,224.5
2,2,78
2,2,60.8
5,2,102
7,2,210
3,2,88
2,2,37
2,2,58.06
6,3,160
2,2,70
2,1,28.88
2,2,70
4,2,155
2,3,80
3,2,90
4,1,245
2,1,48
2,1,65
3,1,90
3,3,138
1,1,17
2,1,150
2,2,43
2,2,50
2,2,49.9
2,1,98
3,2,229
2,2,55.68
2,2,66.78
3,3,120
2,2,75
2,1,51.91
2,1,45.9
4,1,225
3,2,140
2,3,64
3,1,74.75
2,2,75
3,3,23
3,2,120
3,1,200
4,0,477
4,2,150
2,2,68.52
2,1,34
3,2,65
2,1,54
2,1,78
7,0,115
3,3,110
3,1,75
1,1,16.5
4,0,210
3,2,83
2,1,57
2,1,65
2,0,54.005
3,1,50.4
2,2,85.05
8,,250
5,1,213
3,1,105
2,1,60
2,1,43.76
7,2,225
3,,110
2,1,35
3,3,46.74
5,,185
4,2,91.31
2,1,58
2,3,44
4,,235
2,2,50
2,1,30.6
2,2,50
3,3,135
3,1,145
4,0,760
2,3,48
2,1,32
3,1,150
4,2,420
3,1,175
2,0,43.49
2,2,75
2,1,64.5
2,1,60
2,2,70
6,0,99
1,1,11
2,1,64.5
2,1,56
3,3,65
3,2,100
3,2,85
1,0,14
1,2,67
1,1,36
2,3,51
3,2,155
3,2,145
3,2,110
2,1,52
3,2,300
2,2,55.7
2,1,46
2,0,56.8
2,2,52
4,1,110
2,3,80
5,,325
7,1,250
2,2,60
2,2,98
2,2,58
3,1,115
3,2,56
2,1,48
2,2,82
2,1,70
2,2,47.6
2,1,53
2,2,54
2,2,48.7
3,2,88
2,1,87
2,2,43.5
6,0,190
4,1,428
3,2,65
3,2,89
3,2,78.29
3,3,100
2,1,65
6,0,141
1,1,27
3,3,78
3,2,98.29
3,2,125
2,3,90
4,1,75.5
2,1,44.28
,,74.82
4,2,260
2,2,72
2,1,115
3,2,119
2,1,22.14
2,2,56.4
2,2,60
2,2,55
2,2,42
2,2,110
2,1,65
2,2,39
3,1,129
5,2,150
2,2,60
1,1,16.45
8,2,180
1,1,16.45
3,3,84
2,3,72.5
3,1,90
2,1,40
3,1,70
3,2,280
3,2,185
1,1,20
2,2,55
2,2,93
2,2,22.5
2,1,69
2,0,95
2,2,36
2,1,63
5,,170
3,2,170
3,2,300
3,2,75.5
2,2,43.9
2,1,59.9
2,2,49.2
4,0,52.8
3,2,46
2,2,61.58
1,1,26
3,2,120
2,1,32
3,2,131
2,1,45
2,1,110
2,3,73.95
3,2,132
2,1,80.9
4,2,250
3,3,91.45
3,3,55
2,1,34.5
2,1,100
6,0,250
3,1,78.8
2,1,46
2,2,94
2,1,40
2,2,56
2,2,50
2,2,25.88
2,1,51.25
2,2,44
2,2,45
2,1,98.2
2,1,50
2,3,75
3,1,98
2,2,47
4,0,120
3,1,140
3,2,104
2,1,29.5
2,1,70
3,0,100
3,2,105
2,3,45
1,1,26
3,2,95
4,3,65
3,3,150
2,3,100
3,3,115
2,1,55.55
3,3,67
2,2,46.5
5,2,180
2,2,27
2,2,75
2,2,52
2,1,51
2,1,83.09
2,1,65
2,2,128
4,3,165
3,2,415
4,1,400
3,2,56
2,2,55
2,2,52
2,1,55
3,2,95
2,1,67
4,2,198
2,2,74
3,2,215
2,1,58
2,2,45
6,2,230
3,3,64
2,0,79
2,3,48
2,2,40
2,2,76
3,1,150
,,21.53
2,2,65
2,0,140
3,1,49.36
3,0,150
3,2,74
2,1,43.25
2,1,77
3,2,75
2,3,57
1,1,28.35
3,2,365
3,1,125
2,2,50
5,3,335
2,1,50
2,2,89.04
3,0,90
4,2,230
1,1,18.5
2,1,52
1,0,11.66
2,3,66
2,2,60
2,2,39
2,1,60
5,2,212
2,2,55
2,1,65
3,2,275
2,2,46.8
2,1,108
3,2,110
1,0,29.9
3,2,95
3,0,77
3,2,115
2,,90
1,1,36
2,2,44
2,1,25
2,1,40
3,2,79
2,0,134
3,2,121
2,1,94
2,2,45.79
2,1,33
3,3,108
2,2,53
2,1,58
2,1,32
2,2,55
3,,120
2,1,120
3,1,45
3,2,161
4,1,230
2,1,65
4,1,175
2,1,82
2,0,165
2,0,125
3,2,410
6,3,2200
1,1,62
1,0,18.5
2,,38
2,1,38
7,3,250
3,3,64.5
3,2,88
2,2,62
