YEAR_x,TEAM,RUNS SCORED_x,WICKETS LOST_x,WICKETS TAKEN_x,AGAINST_x,RESULT_x,VENUE_x,WINNER_x,YEAR_y,RUNS SCORED_y,WICKETS LOST_y,WICKETS TAKEN_y,AGAINST_y,RESULT_y,VENUE_y,WINNER_y
,,,,,,,,,,,,,,,,
,,,,,,,,,,146,7,10,SCO,WON,DUNEDIN,
,,,,,,,,,,125,2,10,ENG,WON,WELLINGTON,
,,,,,,,,,,152,9,10,AUS,WON,AUCKLAND,
,,,,,,,,,,188,4,10,AFG,WON,NAPIER,
,,,,,,,,,,290,7,7,BAN,WON,HAMILTON,
,,,,,,,,,,393,6,10,WI,WON,WELLINGTON,
,,,,,,,,,,299,6,5,SA,WON,AUCKLAND,
,,,,,,,,,,,,,AUS,LOST,MELBOURNE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,236,6,10,AFG,WON,DUNEDIN,
,,,,,,,,,,332,1,10,BAN,WON,MELBOURNE,
,,,,,,,,,,312,1,6,ENG,WON,WELLINGTON,
,,,,,,,,,,312,10,9,AUS,LOST,SYDNEY,
,,,,,,,,,,363,9,10,SCO,WON,HOBART,
,,,,,,,,,,133,10,1,SA,LOST,SYDNEY,
,,,,,,,,,,,,,,,,
,,,,,,,,,,NR,NR,NR,BAN,NR,BRISBANE,
,,,,,,,,,,151,10,9,NZ,LOST,AUCKLAND,
,,,,,,,,,,417,6,10,AFG,WON,PERTH,
,,,,,,,,,,376,9,10,SL,WON,SYDNEY,
,,,,,,,,,,133,3,10,SCO,WON,HOBART,
,,,,,,,,,,216,4,10,PAK,WON,ADELAIDE,
,,,,,,,,,,328,7,10,IND,WON,SYDNEY,
,,,,,,,,,,186,3,10,NZ,WON,MELBOURNE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,123,10,2,NZ,LOST,WELLINGTON,
,,,,,,,,,,303,8,10,SCO,WON,CHRISTCHURCH,
,,,,,,,,,,309,6,1,SL,LOST,WELLINGTON,
,,,,,,,,,,260,10,7,BAN,LOST,ADELAIDE,
,,,,,,,,,,101,1,7,AFG,WON,SYDNEY,
,,,,,,,,,,,,,,,,
